Die Wanne ist voll	Gary soll gebadet werden, doch die Schnecke möchte nicht.
Willkommen im Abfalleimer	Mr. Krabs verliert beim Kartenspielen SpongeBob an Plankton und dieser muss von nun an im Abfalleimer arbeiten …
Punkt, Punkt, Komma, Strich…	Ein Zeichner verliert seinen Bleistift und der magische Bleistift landet in Bikini Bottom. Als SpongeBob sich selbst zeichnet, verbreitet KritzelBob nur Ärger.
Die Geheimschachtel	SpongeBob will unbedingt in Erfahrung bringen, was sich in Patricks Geheimschachtel befindet.
Hör’ mal, wer da spielt	Thaddäus muss binnen kurzer Zeit eine Band zusammenstellen, um seinen Rivalen Siegbert Schnösel beeindrucken zu können.
Nachtschicht	Mr. Krabs führt die Nachtschicht in der Krossen Krabbe ein und Thaddäus erzählt SpongeBob die Geschichte vom Hackfleisch hassenden Zerhacker.
Krosse Liebe	Mr. Krabs und Mrs. Puff verlieben sich ineinander. Doch Mr. Krabs kann sich nicht zwischen seinem Geld und Mrs. Puff entscheiden.
Der Aufsatz	SpongeBob muss es schaffen, einen Aufsatz mit 800 Wörtern zu schreiben, doch er zögert immerzu herum …
Einer ist immer der Dumme	Patrick erhält Besuch von seinen Eltern. SpongeBob stellt sich dumm, um Patrick zu helfen, einen guten Eindruck bei seinen Eltern zu machen.
Unaussprechlich	SpongeBob und Patrick haben ein ganz übles Schimpfwort gelernt und verbreiten es laut herum, weil Patrick meint, es wäre ein „Satz-Verstärkungs-Wort“. Doch die beiden bekommen bald Ärger mit Mr. Krabs …
Das Meisterwerk	Thaddäus gibt einen Kunstkurs an der Volkshochschule wo SpongeBob sein einziger Schüler wird.
Jäger und Gejagte	Mr. Krabs quält die Quallen, um mit dessen Quallengelee Geld machen zu können.
Der große Tag	SpongeBob Schwammkopf tritt gegen Patrick in den Burgerbrater-Festspielen an.
Thaddäus streikt	Thaddäus überredet SpongeBob, eisern gegen die Krosse Krabbe zu streiken. Doch dieser ist ein lausiger Streikposten.
Sandy, SpongeBob und der Wurm	Ein Alaskanischer Stierwurm wütet in Bikini Bottom, woraufhin Sandy ihn bekämpfen möchte.
Chef werden ist nicht schwer…	Plankton tauscht mit dem Tauschomat die Rollen von ihm und Mr. Krabs, um Chef der Krossen Krabbe zu sein. Doch die Angestellten, Perla und Mr. Krabs (in Planktons Rolle) machen dem Einzeller das Leben schwer.
Bademeister SpongeBob	SpongeBob wird überraschend Bademeister. Doch er kann nicht schwimmen und als Patrick in Not gerät, muss Larry die beiden aus dem Meer retten …
Club SpongeBob	SpongeBob und Patrck behaupten, Thaddäus würde nie in ihren Club aufgenommen werden, worauf der es den beiden zeigen will. Als er das Baumhaus verlassen will, werden sie in einen entlegenen Wald geschleudert.
Der Seepferdeflüsterer	SpongeBob befreundet sich mit einem Seepferd. Auf der Arbeit droht Mr. Krabs ihm mit der Kündigung, da es seine Kundschaft verscheucht und alles auffrisst …
Nur einen Bissen	SpongeBob möchte, dass Thaddäus einen Krabbenburger probiert, weil er dies noch nie getan hat und sie hasst. Von diesem Moment an liebt der Tintenfisch Krabbenburger. Er verheimlicht dies aber vor SpongeBob …
Der Schlägertyp	In der Bootsfahrschule ist ein neuer Mitschüler, der SpongeBob verprügeln will. Nur niemand will ihm glauben und helfen.
Besuch vom Gesundheitsamt	Die Krosse Krabbe wird vom Gesundheitsinspektor geprüft. SpongeBob und Mr. Krabs tun alles, um die Inspektion zu bestehen. Als in den Nachrichten über einen Betrüger berichtet wird, wollen sie ihm mit einem wahren Killerburger eine Lektion erteilen.
Der Film im Kopf	SpongeBob und Patrick spielen mit einer Kiste, aus der plötzlich reale Abenteuergeräusche ertönen. Thaddäus will wissen, was es mit der Kiste auf sich hat.
Der Schrumpf-Tag	SpongeBob klaut heimlich Meerjungfraumanns Gürtel. Als er mit dem integrierten Schrumpfstrahl nicht zurechtkommt, schrumpft er versehentlich damit die ganze Stadt …
Gefängnisstrafe	Mrs. Puff wird bei einer Prüfung wegen SpongeBobs schlimmen Fahrkünsten verhaftet. Nun möchten SpongeBob und Patrick sie aus dem Gefängnis befreien.
Die Schneeballschlacht	SpongeBob und Patrick ziehen Thaddäus mit in ihre Schneeballschlacht.
Trödel	Mr. Krabs macht einen Antiquitätenstand auf, auf dem er aus dem Mülleimer ausgekippte Dinge verkauft, unter anderem eine seltene, wertvolle Trinkmütze.
Der Fernsehstar	SpongeBob denkt, alle Leute würden über ihn sprechen, weil eine Ecke von ihm in der Werbung der Krossen Krabbe um 3 Uhr nachts kurz zu sehen war und hält sich von nun an für einen Fernsehstar …
Schonungslos ausgenutzt	Thaddäus kündigt in der Krossen Krabbe und landet schließlich auf der Straße. SpongeBob nimmt ihn bei sich auf, doch Thaddäus nutzt ihn nach und nach immer mehr aus …
Harte Jungs	SpongeBob versucht fieberhaft, in den „Salzigen Spucknapf“ zu kommen, einen Club für die Härtesten. Doch er kommt nicht am Türsteher vorbei und landet immer wieder im Weicheischuppen Jr..
Der stinkreiche Schnösel	Siegbert Schnösel, Thaddäus’ Erzfeind, möchte in Thaddäus’ „angeblichem“ 3-Sterne-Restaurant speisen. Nun muss Thaddäus in 20 Minuten die Krosse Krabbe zu einer edlen Gaststätte umbauen – mit SpongeBob als Oberkellner …
Roboter Krabs	SpongeBob befürchtet eine Roboter-Invasion, nachdem er einen Film über Roboter gesehen hat.
Eltern werden ist nicht schwer…	SpongeBob und Patrick werden Eltern und kümmern sich um ein verwaistes Muschelkind.
Anstreicher	Mr. Krabs beauftragt SpongeBob und Patrick mit einem Neuanstrich seines Wohnzimmers – mit einer nicht abwaschbaren Farbe.
Das Ausbildungsvideo	Ein Video der Krossen Krabbe, das Bewerber über alle Vorschriften und Bedingungen des Berufes „Burgerbrater“ aufklärt.
SpongeBobs Hausparty	SpongeBob organisiert eine Hausparty mit einem strengen Zeitplan. Später wird sie jedoch zu einem echten Kracher, als SpongeBob sich versehentlich aussperrt …
Verkaufsgenies	SpongeBob und Patrick möchten reiche Unternehmer sein und verkaufen Schokolade. Die Verkaufsaktion hat aber auch einige Hürden.
Blaubarschbube rebelliert	Blaubarschbube hat es satt, wie ein Baby behandelt zu werden, darum wechselt er zu der Seite der Bösewichte.
Der neue Mitschüler	Patrick begleitet SpongeBob in die Bootsfahrschule und machen im Unterricht nur Unfug.
Moby Muschel	Mr. Krabs’ millionster Dollar wird ausgerechnet von einer gigantischen Muschel gefressen … nun setzt er alles daran, die Muschel zu fangen.
SpongeBob in der Steinzeit	SpongeGa, Patta und Thadda entdecken in der Steinzeit das Feuer. Schnell erbrennt ein Streit um diese Entdeckung.
Das große Schneckenrennen	Gary tritt gegen Thaddäus’ neue Schnecke „Schnellie“ an, aber SpongeBob nimmt den Job des Trainers zu sehr wahr.
Einmal wieder jung sein	Weil Mr. Krabs sich zu alt fühlt, helfen ihm SpongeBob und Patrick, sich wieder jung zu fühlen. Mr. Krabs glaubt an wilde Feiern und begleitet sie an ihrem Abend voller Ausschweifungen …
Geizig bleibt geizig	Mr. Krabs ist so geizig, dass er einen alten verdorbenen Krabbenburger, den SpongeBob gefunden hat, aufhebt, um ihn einem Kunden anzudrehen. Der Fliegende Holländer gibt ihm daraufhin die letzte Chance zur Großzügigkeit …
Unfallschäden	Seitdem SpongeBob einen Unfall hatte, ist er nun so vorsichtig, dass er für immer in seinem Haus bleiben will …
Sommeranfang	Mr. Krabs will in den Sommerferien den Kindern mit einem billigen Spielplatz das Geld aus der Tasche ziehen …
Helden beim Zelten	SpongeBob und Patrick gehen vor ihren Häusern zelten und bringen auch Thaddäus dazu, mitzumachen …
Namenlos	SpongeBob verliert sein Namensschild, als Mr. Krabs eine kurzfristige Uniforminspektion ankündigt. So rekonstruiert er seinen Tagesablauf, um das Namensschild wiederzufinden.
Planktons Verwandtschaft	Sheldon J. Plankton heuert alle seine Verwandten an, um gemeinsam mit ihnen die Geheimformel zu stehlen.
Der fliegende Schwamm	SpongeBob möchte unbedingt mit den Quallen fliegen. Doch als er fliegt, braucht jeder in Bikini Bottom seine Hilfe.
Der Quatschtüten-Würger	SpongeBob hat den berüchtigten Quatschtütenwürger verhaften lassen, doch dieser kann entkommen und will sich als Bodyguard nun an SpongeBob rächen …
Die Geister von Bikini Bottom	SpongeBob und Patrick kaufen ein Unsichtbarkeitsspray und erschrecken die ganze Stadt.
Die Angst vor dem Krabbenburger	Plankton sorgt dafür, dass SpongeBob Angst vor Krabbenburgern bekommt und will als Psychotherapeut an die Geheimformel kommen.
Harte Schale, weicher Kern	Ausgerechnet vor dem Treffen seiner alten Seemanns-Kumpel verliert Mr. Krabs seine Schale. SpongeBob bietet sich als Ersatz für ihn an.
Die verlorene Matratze	Mr. Krabs alte Matratze bereitet ihm Rückenschmerzen. Deswegen kaufen SpongeBob, Patrick und Thaddäus eine neue Matratze und werfen die alte auf den Müll. Das Problem: Mr. Krabs’ Vermögen befindet sich in der alten Matratze.
Krabs gegen Plankton	Plankton verklagt Mr. Krabs, weil dieser kein „Frisch-gewischt-Schild“ aufgestellt hat, nachdem er auf nassem Boden ausgerutscht ist.
Haben Sie diese Schnecke gesehen?	Weil SpongeBob vergessen hat, Gary zu füttern, verlässt dieser ihn und kommt bei einer alten Dame unter. SpongeBob beginnt eine verzweifelte Suche nach Gary.
Der Geschicklichkeitskran	Um noch mehr Geld zu verdienen, stellt Mr. Krabs einen Geschicklichkeitskran in der Krossen Krabbe auf. Thaddäus ist wie besessen davon, einmal zu gewinnen.
Gute Nachbarn	Thaddäus möchte einen entspannten Sonntag verbringen. Weil SpongeBob und Patrick ihn so mit ihrem Königlichen Geheimordens der guten Nachbarschaftsloge nerven, schafft dieser sich das „Sicherheitssystem 5000“ an.
Ausverkauf	Mr. Krabs verkauft die Krosse Krabbe an die Blandy-Restaurantkette und geht in den Ruhestand. Schon bald zieht er die Konsequenzen daraus.
Kaputt gelacht	SpongeBob glaubt, sein Lachgetriebe überstrapaziert zu haben. Als er wirklich nicht mehr lachen kann, muss Thaddäus die Situation bereinigen.
Der edle Ritter	SpongeBob und Patrick geraten nach einem Zusammenstoß in das mittelalterliche Bikini Bottomland.
Wo die Liebe hinfällt	Plankton und Mr. Krabs’ Mutter verlieben sich ineinander – doch nicht ohne Hintergedanken des Einzellers.
Meerjungfraumann und Blaubarschbube: Der Film	Der Meerjungfraumann-und-Blaubarschbube-Fanclub freut sich so sehr auf den neuen Kinofilm, doch die Superhelden sind angeblich zu alt und wurden durch neue Schauspieler ersetzt! Nun wollen SpongeBob, Patrick, Thaddäus, Sandy und Meerjungfraumann und Blaubarschbube selbst einen eigenen Film drehen.
Patrick SchlauKopf	Nach einem Sturz von einer Klippe ist Patrick plötzlich hochintelligent. Das führt zur Zerreißprobe seiner Freundschaft mit SpongeBob.
Thaddäus TentakelKopf	Thaddäus und SpongeBob verschmelzen durch eine Erfindung Sandys ungewollt zu einer Kreatur.
Dem Hotelier ist nichts zu schwer	Da sich mit Hotels mehr Geld verdienen lässt, baut Mr. Krabs die Krosse Krabbe in ein Hotel namens Krosse Türme um.
Mrs. Puff, Sie sind gefeuert	Mrs. Puff wird aufgrund schlechter Lehrleistungen gefeuert und durch einen Ausbilder mit strengem militärischen Drill ersetzt. Kann SpongeBob dieses Mal bestehen?
Schimpansen ahoi	Sandy erhält Besuch von ihren Vorgesetzten.
Geisterstunde	Nach einem Schiffunglück nistet sich der Fliegende Holländer bei SpongeBob ein und erschreckt diesen rund um die Uhr … bis es dem Schwamm langweilig wird.
Der sechzehnte Geburtstag	Der 16. Geburtstag von Mr. Krabs’ Tochter, Perla, droht erneut, ein Reinfall zu werden – bis SpongeBob am Ende die Geschenke überreicht.
Der König des Karate	Meister Udon lädt SpongeBob auf seine Insel ein, um ihn zum König des Karate zu krönen. Sandy misstraut dieser Geschichte und begleitet ihn.
Alles, was glitzert	SpongeBob hat beim Burgerbraten seinen Pfannenwender zerbrochen – und ein passender Ersatz lässt sich nicht so einfach auftreiben.
Wünsch dir was!	Mr. Krabs baut einen Wunschbrunnen hinter der Krossen Krabbe, in dem er SpongeBob sitzen lässt, um das Geld aufzusammeln.
Ein neues Leben	Sheldon J. Plankton tut so, als ob er die Geheimformel gar nicht mehr stehlen will und eröffnet nun einen Souvenir-Laden. Doch Mr. Krabs traut der Sache nicht.
Schneckenwahnsinn	SpongeBob hat Gary nicht gegen den „Schneckenwahnsinn“ geimpft und Gary läuft frei herum und beißt alle Leute. Die Gebissenen verwandeln sich in Zombies …
Zwangsurlaub	Mr. Krabs muss SpongeBob eine Woche Urlaub geben, nachdem er eine Mahnung der Burgerbrater-Gewerkschaft erhalten hat. Doch SpongeBob will arbeiten und versucht die ganze Zeit, heimlich in die Krosse Krabbe zu gelangen.
Perücken-Panik	SpongeBob bekommt zufällig eine neue Perücke und denkt, nun zu den ganz coolen gehören zu können, doch er wird von der ganzen Stadt nur ausgelacht.
Die fanthaddäustische Reise	Thaddäus verschluckt das Mundstück seiner Klarinette. Sandy will ihm helfen, dieses wieder zu entfernen. Durch ein Missgeschick übernehmen SpongeBob und Patrick den Auftrag und erkunden mit einem Mini-U-Boot den Körper des Tintenfisches.
Patricia	Patrick glaubt, ein „Auftragskiller“ will ihn aus der Stadt jagen. Er verwandelt sich in „Patricia“, um seine Identität zu verschleiern.
Das Ding	Nachdem Thaddäus von Beton überzogen worden ist, glauben die Bewohner Bikini Bottoms, dass er einer unbekannten Spezies angehört. SpongeBob versucht, ihn als Haustier zu halten.
Hokuspokus	SpongeBob besorgt einen Zauberkasten und „verwandelt“ Thaddäus in eine Eiswaffel.
Eine Träne im Schlagloch	SpongeBob ist schon wieder bei der Fahrprüfung durchgefallen. Patrick hat den Verdacht, Mrs. Puff würde SpongeBob extra schlechte Noten geben, und will selbst die Prüfung machen. Und trotz aller Wunder besteht Patrick mit der Bestnote und kriegt als 2000. Führerschein-Kandidat auch noch ein super nagelneues Rennboot. Doch die Angeberei seines Freundes regt SpongeBob auf.
Königlicher Quatsch	Patrick bekommt die Nachricht überliefert, dass er nicht nur von Adligen abstammt, sondern auch noch rechtmäßiger König von Bikini Bottom ist. Diese Macht nutzt er bedenkenlos aus und verlangt alles zu bekommen, was er möchte.
Wilde Jungs	Eine gefürchtete Motorradgang kommt nach Bikini Bottom. SpongeBob versucht, die Bewohner zu warnen, aber sie hören ihm nicht zu …
Beste Fr-einde	Ein neues Getränk gewinnt an Beliebtheit. Plankton und Mr. Krabs fürchten um ihre Kundschaft und arbeiten zusammen, um hinter das Geheimnis des Getränkes zu kommen.
Der Quallenfischernetzdieb	SpongeBob verliert sein neues Quallenfischernetz. Nun hat er Patrick im Verdacht, dieses gestohlen zu haben.
Mini-Thaddäus	SpongeBob fertigt einen Mini-Thaddäus aus Holz an, nachdem Thaddäus sich weigert, mit SpongeBob zu spielen. Diese Kopie wird jedoch bald beliebter als er selbst, sodass er daraufhin versucht, seinen Mini-Doppelgänger loszuwerden.
Der allerschönste Tag	SpongeBob hat seinen „allerschönsten Tag“ geplant, dieser geht allerdings den Bach runter – bis er am Ende merkt, dass er seinen ganzen Freunden geholfen hat.
Gummilein	SpongeBob fürchtet sich vor dem Riesenkaugummi, den er von Patrick zum „Beste Freunde Tag“ geschenkt bekommen hat, und versucht ihn loszuwerden.
